字符,id,笔画数
律,01044,9
芋,01045,6
侵,01046,9
拓,01047,8
泉,01048,9
袂,01049,9
拭,01050,9
祆,01051,8
炭,01052,9
庭,01053,9
拇,01054,8
泯,01055,8
沔,01056,7
南,01057,9
枰,01058,9
叟,01059,9
映,01060,9
胥,01061,9
香,01062,9
娜,01063,9
砂,01064,9
姚,01065,9
柔,01066,9
思,01067,9
怯,01068,8
室,01069,9
咦,01070,9
疫,01071,9
相,01072,9
牲,01073,9
泗,01074,8
突,01075,9
卸,01076,9
畏,01077,9
施,01078,9
庠,01079,9
姨,01080,9
柝,01081,9
恃,01082,9
畎,01083,9
玩,01084,8
耍,01085,9
亭,01086,9
泅,01087,8
哉,01088,9
柚,01089,9
性,01090,8
威,01091,9
省,01092,9
剃,01093,9
侮,01094,9
咻,01095,9
歪,01096,9
信,01097,9
屋,01098,9
羿,01099,9
眨,01100,9
蚤,01101,9
沿,01102,8
柿,01103,9
怨,01104,9
沼,01105,8
畋,01106,9
狎,01107,8
怏,01108,8
俗,01109,9
衍,01110,9
幽,01111,9
峙,01112,9
禺,01113,9
宣,01114,9
囿,01115,9
型,01116,9
要,01117,9
炫,01118,9
咫,01119,9
注,01120,8
爰,01121,9
胃,01122,9
柞,01123,9
昨,01124,9
咿,01125,9
泳,01126,8
垣,01127,9
奕,01128,9
俎,01129,9
宥,01130,9
籽,01131,9
姻,01132,9
怔,01133,8
者,01134,8
竽,01135,9
炸,01136,9
禹,01137,9
俑,01138,9
胄,01139,9
怡,01140,8
弈,01141,9
柱,01142,9
胤,01143,9
拄,01144,8
昭,01145,9
勇,01146,9
姿,01147,9
疣,01148,9
徉,01149,9
芝,01150,6
拙,01151,8
星,01152,9
昱,01153,9
油,01154,8
祉,01155,8
肘,01156,7
音,01157,9
殃,01158,9
咨,01159,9
政,01160,9
盈,01161,9
啊,01162,10
唉,01163,10
埃,01164,10
按,01165,9
俺,01166,10
案,01167,10
氨,01168,10
盎,01169,10
敖,01170,10
芭,01171,7
笆,01172,10
耙,01173,10
柏,01174,9
派,01175,9
班,01176,10
般,01177,10
舨,01178,10
梆,01179,10
旁,01180,10
豹,01181,10
倍,01182,10
俾,01183,10
畚,01184,10
俸,01185,10
秘,01186,10
服,01187,8
病,01188,10
拼,01189,9
玻,01190,9
亳,01191,10
埔,01192,10
睬,01193,13
豺,01194,10
倡,01195,10
晁,01196,10
宸,01197,10
疹,01198,10
秤,01199,10
乘,01200,10
城,01201,9
翅,01202,10
持,01203,9
蚩,01204,10
臭,01205,10
畜,01206,10
祝,01207,9
